id,name,name_en,name_de
375,Litauen,Lithuania,Litauen
376,Luxemburg,Luxembourg,Luxemburg
377,Macau S.A.R.,Macau S.A.R.,Macao
378,Mazedonien,Macedonia,Nordmazedonien
379,Madagaskar,Madagascar,Madagaskar
380,Malawi,Malawi,Malawi
381,Malaysia,Malaysia,Malaysia
382,Malediven,Maldives,Malediven
383,Mali,Mali,Mali
384,Malta,Malta,Malta
385,Man (Insel),Man (Isle of),Insel Man
386,Marshall-Inseln,Marshall Islands,Marshallinseln
387,Martinique,Martinique,Martinique
388,Mauretanien,Mauritania,Mauretanien
389,Mauritius,Mauritius,Mauritius
390,Mayotte,Mayotte,Mayotte
391,Mexiko,Mexico,Mexiko
392,Mikronesien,Micronesia,Mikronesien
393,Moldawien,Moldova,Moldawie
394,Monaco,Monaco,Monaco
395,Mongolei,Mongolia,Mongolei
396,Montenegro,Montenegro,Montenegro
397,Montserrat,Montserrat,Montserrat
398,Marokko,Morocco,Marokko
399,Mosambik,Mozambique,Mosambik
400,Myanmar,Myanmar,Myanmar
401,Namibia,Namibia,Namibia
402,Nauru,Nauru,Nauru
403,Nepal,Nepal,Népal
404,Niederlande,Netherlands,Niederlande
405,Neukaledonien,New Caledonia,Neukaledonien
406,Neuseeland,New Zealand,Neuseeland
407,Nicaragua,Nicaragua,Nicaragua
408,Niger,Niger,Niger
409,Nigeria,Nigeria,Nigeria
410,Niue,Niue,Niue
411,Norfolkinsel,Norfolk Island,Norfolkinsel
412,Nordkorea,North Korea,Nordkorea
413,Nördliche Marianen,Northern Mariana Islands,Nördliche Marianen
414,Norwegen,Norway,Norwegen
415,Oman,Oman,Oman
416,Pakistan,Pakistan,Pakistan
417,Palau,Palau,Palau
418,Besetztes Palästinensisches Territorium,Palestinian Territory Occupied,Palästina
419,Panama,Panama,Panama
420,Papua-Neuguinea,Papua new Guinea,Papua-Neuguinea
421,Paraguay,Paraguay,Paraguay
422,Peru,Peru,Peru
423,Philippinen,Philippines,Philippinen
424,Pitcairn-Insel,Pitcairn Island,Pitcairn
425,Polen,Poland,Polen
426,Portugal,Portugal,Portugal
427,Puerto Rico,Puerto Rico,Puerto Rico
428,Katar,Qatar,Katar
429,Wiedervereinigung,Reunion,Réunion
430,Rumänien,Romania,Rumänien
431,Russland,Russia,Russland
432,Ruanda,Rwanda,Ruanda
433,St. Helena,Saint Helena,Sankt Helena
434,St. Kitts und Nevis,Saint Kitts And Nevis,St. Kitts und Nevis
435,St. Lucia,Saint Lucia,Saint Lucia
436,St. Pierre und Miquelon,Saint Pierre and Miquelon,Saint-Pierre und Miquelon
437,St. Vincent und die Grenadinen,Saint Vincent And The Grenadines,Saint Vincent und die Grenadinen
438,Saint-Barthelemy,Saint-Barthelemy,Saint-Barthélemy
439,Saint-Martin (französischer Teil),Saint-Martin (French part),Saint Martin
440,Samoa,Samoa,Samoa
441,San Marino,San Marino,San Marino
442,Sao Tome und Principe,Sao Tome and Principe,São Tomé und Príncipe
443,Saudi-Arabien,Saudi Arabia,Saudi-Arabien
444,Senegal,Senegal,Senegal
445,Serbien,Serbia,Serbien
446,Seychellen,Seychelles,Seychellen
447,Sierra Leone,Sierra Leone,Sierra Leone
448,Singapur,Singapore,Singapur
449,Sint Maarten (Niederländischer Teil),Sint Maarten (Dutch part),Sint Maarten (niederl. Teil)
450,Slowakei,Slovakia,Slowakei
451,Slowenien,Slovenia,Slowenien
452,Salomon-Inseln,Solomon Islands,Salomonen
453,Somalia,Somalia,Somalia
454,Süd-Afrika,South Africa,Republik Südafrika
455,Südgeorgien,South Georgia,Südgeorgien und die Südlichen Sandwichinseln
456,Südkorea,South Korea,Südkorea
457,Südsudan,South Sudan,Südsudan
458,Spanien,Spain,Spanien
459,Sri Lanka,Sri Lanka,Sri Lanka
460,Sudan,Sudan,Sudan
461,Surinam,Suriname,Suriname
462,Svalbard und Jan Mayen Inseln,Svalbard And Jan Mayen Islands,Svalbard und Jan Mayen
463,Swasiland,Swaziland,Swasiland
464,Schweden,Sweden,Schweden
465,Schweiz,Switzerland,Schweiz
466,Syrien,Syria,Syrien
467,Taiwan,Taiwan,Taiwan
468,Tadschikistan,Tajikistan,Tadschikistan
469,Tansania,Tanzania,Tansania
470,Thailand,Thailand,Thailand
471,Die Bahamas,The Bahamas,Bahamas
472,Togo,Togo,Togo
473,Tokelau,Tokelau,Tokelau
474,Tonga,Tonga,Tonga
475,Trinidad und Tobago,Trinidad And Tobago,Trinidad und Tobago
476,Tunesien,Tunisia,Tunesien
477,Türkei,Turkey,Türkei
478,Turkmenistan,Turkmenistan,Turkmenistan
479,Turks- und Caicosinseln,Turks And Caicos Islands,Turks- und Caicosinseln
480,Tuvalu,Tuvalu,Tuvalu
481,Uganda,Uganda,Uganda
482,Ukraine,Ukraine,Ukraine
483,Vereinigte Arabische Emirate,United Arab Emirates,Vereinigte Arabische Emirate
484,Vereinigtes Königreich,United Kingdom,Vereinigtes Königreich
485,Vereinigte Staaten,United States,Vereinigte Staaten von Amerika
486,Vereinigte Staaten Minor Outlying Islands,United States Minor Outlying Islands,Kleinere Inselbesitzungen der Vereinigten Staaten
487,Uruguay,Uruguay,Uruguay
488,Usbekistan,Usbekistan,Usbekistan
489,Vanuatu,Vanuatu,Vanuatu
490,Staat Vatikanstadt (Heiliger Stuhl),Vatican City State (Holy See),Heiliger Stuhl
491,Venezuela,Venezuela,Venezuela
492,Vietnam,Vietnam,Vietnam
493,Jungferninseln (Britisch),Virgin Islands (British),Britische Jungferninseln
494,Jungferninseln (US),Virgin Islands (US),Amerikanische Jungferninseln
495,Wallis und Futuna Inseln,Wallis And Futuna Islands,Wallis und Futuna
496,Westsahara,Western Sahara,Westsahara
497,Jemen,Yemen,Jemen
498,Sambia,Zambia,Sambia
499,Simbabwe,Zimbabwe,Simbabwe
501,Kein Land,No country,Kein Land
